Disease,Precaution_1,Precaution_2,Precaution_3,Precaution_4
Panic disorder,Practice deep breathing,Avoid caffeine,Follow therapy plan,Seek support from loved ones
Vaginitis,Wear breathable cotton underwear,Avoid douching,Maintain genital hygiene,Avoid scented hygiene products
Problem during pregnancy,Attend regular prenatal visits,Avoid alcohol and smoking,Eat a balanced diet,Get adequate rest
Acute pancreatitis,Avoid alcohol,Eat a low-fat diet,Stay hydrated,Follow doctor's advice strictly
Asthma,Avoid known triggers,Use inhaler as prescribed,Monitor peak flow,Keep emergency inhaler handy
Infectious gastroenteritis,Wash hands frequently,Avoid sharing utensils,Drink clean water,Avoid street food
Acute sinusitis,Use nasal saline spray,Stay hydrated,Avoid allergens,Use warm compresses
Cornea infection,Avoid touching eyes,Use prescribed eye drops,Wear sunglasses,Don’t share towels or cosmetics
Marijuana abuse,Avoid peer pressure,Seek counseling,Build healthy habits,Avoid triggering environments
Bursitis,Rest the affected joint,Apply ice packs,Use joint support,Avoid repetitive strain
Actinic keratosis,Avoid sun exposure,Use broad-spectrum sunscreen,Wear protective clothing,See dermatologist regularly
COPD,Avoid smoking,Use inhalers as prescribed,Stay away from air pollution,Get vaccinated against flu
Spondylosis,Maintain good posture,Exercise regularly,Use ergonomic chairs,Avoid lifting heavy weights
Injury to the arm,Immobilize the arm,Apply cold compress,Elevate the arm,Seek medical care if swelling
Complex regional pain syndrome,Follow physical therapy,Manage stress,Take prescribed medication,Avoid injury to the affected limb
Injury to the trunk,Apply ice or heat,Rest adequately,Use support belts if advised,Avoid strenuous activity
Vulvodynia,Wear loose cotton clothing,Avoid scented products,Use prescribed creams,Manage stress levels
Concussion,Rest and avoid screens,Avoid physical activity,Monitor symptoms,Follow up with neurologist
Hypoglycemia,Eat small frequent meals,Carry glucose tablets,Avoid skipping meals,Monitor blood sugar levels
Hiatal hernia,Eat small frequent meals,Avoid lying down after eating,Avoid spicy food,Maintain healthy weight
Allergy,Apply calamine,Cover area with bandage,Use ice to compress itching,Avoid known allergens
Acute bronchospasm,Avoid cold air,Use bronchodilator inhaler,Avoid allergens,Monitor breathing patterns
Degenerative disc disease,Maintain healthy weight,Avoid lifting heavy items,Engage in back exercises,Use lumbar support
Pain after an operation,Take pain meds as prescribed,Avoid physical strain,Keep surgical area clean,Attend follow-up appointments
Injury to the leg,Elevate the leg,Apply ice packs,Avoid putting weight,Use crutches if advised
Gout,Avoid purine-rich food,Stay hydrated,Limit alcohol intake,Take medication as prescribed
Otitis media,Avoid water entering ears,Take antibiotics as prescribed,Use warm compress,Follow up with ENT specialist
Acute kidney injury,Avoid NSAIDs,Stay hydrated,Monitor fluid intake,Follow renal diet plan
Threatened pregnancy,Take prescribed medications,Avoid stress and lifting heavy items,Get regular checkups,Rest as recommended
Gum disease,Maintain oral hygiene,Floss daily,Avoid smoking,Visit dentist regularly
Gastrointestinal hemorrhage,Avoid NSAIDs,Eat a soft bland diet,Limit alcohol,Follow up with GI specialist
Anxiety,Practice relaxation techniques,Avoid stimulants like caffeine,Maintain regular sleep,Seek counseling if needed
Conjunctivitis due to allergy,Avoid rubbing eyes,Use antihistamine drops,Keep environment clean,Avoid known allergens
Drug reaction,Stop the drug immediately,Consult a doctor,Use antihistamines if prescribed,Monitor for worsening symptoms
Macular degeneration,Wear sunglasses,Eat leafy greens,Avoid smoking,Regular eye checkups
Pneumonia,Take full course of antibiotics,Avoid smoking,Rest adequately,Stay hydrated
Vaginal cyst,Maintain genital hygiene,Avoid tight clothing,Do warm sitz baths,Follow doctor’s advice
Carpal tunnel syndrome,Take frequent hand breaks,Use wrist splints,Avoid repetitive motions,Do stretching exercises
Nose disorder,Avoid nose picking,Keep nasal passages moist,Use saline sprays,Avoid irritants and allergens
Dental caries,Brush twice daily,Limit sugar intake,Visit dentist regularly,Floss daily
Hypertensive heart disease,Reduce salt intake,Monitor blood pressure,Exercise regularly,Take antihypertensive medication
Seasonal allergies (hay fever),Keep windows closed during high pollen,Shower after being outdoors,Use air purifier,Take antihistamines
Fungal infection of the hair,Keep scalp dry and clean,Avoid sharing personal items,Use antifungal shampoo,Maintain proper hygiene
Rectal disorder,Eat a high-fiber diet,Drink plenty of water,Avoid straining during bowel movements,Use sitz baths
Stye,Apply warm compress,Avoid touching or squeezing,Maintain eyelid hygiene,Discontinue eye makeup temporarily
Heart attack,Take prescribed medication,Avoid stress,Eat heart-healthy diet,Monitor cholesterol and BP
Obstructive sleep apnea (OSA),Maintain healthy weight,Use CPAP machine if prescribed,Avoid alcohol before bedtime,Sleep on your side
Psoriasis,Keep skin moisturized,Avoid triggers like stress,Use prescribed creams,Avoid scratching
Arthritis of the hip,Do low-impact exercises,Use walking aids if needed,Maintain healthy weight,Take anti-inflammatory medication
Sickle cell crisis,Stay hydrated,Avoid extreme temperatures,Prevent infections,Take prescribed medication regularly
Otitis externa (swimmer's ear),Dry ears after swimming,Avoid inserting objects into ears,Use prescribed ear drops,Avoid dirty water bodies
Acute bronchiolitis,Keep child hydrated,Use humidifier,Avoid exposure to smoke,Monitor breathing
Pyogenic skin infection,Keep wound clean and dry,Avoid scratching,Take prescribed antibiotics,Cover infected area
Noninfectious gastroenteritis,Avoid irritant foods,Stay hydrated,Eat bland diet,Rest well
Benign prostatic hyperplasia (BPH),Limit evening fluid intake,Avoid alcohol and caffeine,Empty bladder completely,Follow up with urologist
Spinal stenosis,Avoid high-impact activities,Use walking support,Physical therapy,Take anti-inflammatory meds
Acute bronchitis,Avoid smoking,Drink warm fluids,Use cough suppressants if needed,Rest and recover
Croup,Use humidified air,Keep child calm,Encourage fluid intake,Seek medical help for breathing difficulty
Idiopathic excessive menstruation,Use sanitary protection,Monitor blood loss,Iron-rich diet,Consult gynecologist
Ear drum damage,Avoid water entry into ear,Don’t insert objects into ear,Use ear drops as prescribed,Follow up with ENT
Temporary or benign blood in urine,Stay hydrated,Avoid strenuous activity,Avoid certain medications (as advised),Follow up with doctor
Common cold,Drink plenty of fluids,Rest well,Use nasal decongestants,Practice good hygiene
Depression,Maintain social connection,Follow treatment plan,Get regular exercise,Avoid alcohol and drugs
Idiopathic irregular menstrual cycle,Keep menstrual diary,Maintain healthy weight,Reduce stress,Consult a gynecologist
Schizophrenia,Adhere to medication,Avoid substance abuse,Attend therapy sessions,Build a support network
Sepsis,Seek urgent medical care,Follow antibiotic regimen,Monitor temperature & vitals,Maintain good hygiene
Cholecystitis,Avoid fatty foods,Stay hydrated,Follow up for imaging/tests,Take antibiotics as prescribed
Cystitis,Drink cranberry juice or water,Urinate frequently,Avoid irritants like caffeine,Wipe front to back
Hemorrhoids,Eat fiber-rich foods,Avoid prolonged sitting,Stay hydrated,Use sitz baths
Contact dermatitis,Identify and avoid allergen,Use fragrance-free products,Apply soothing lotion,Wear gloves when needed
Sinus bradycardia,Avoid excessive physical strain,Regular cardiac monitoring,Follow-up with cardiologist,Manage electrolyte balance
Pelvic inflammatory disease,Complete full course of antibiotics,Avoid sexual activity during treatment,Practice safe sex,Attend follow-up appointments
Liver disease,Avoid alcohol,Follow a liver-friendly diet,Get vaccinated for hepatitis,Monitor liver function tests
Chronic constipation,Increase fiber intake,Exercise regularly,Stay hydrated,Avoid delaying bowel movements
Skin polyp,Avoid irritation or injury to area,Monitor size and appearance,Don’t self-remove,Seek medical evaluation
Brachial neuritis,Avoid heavy lifting,Physical therapy,Manage pain with meds,Get adequate rest
Esophagitis,Avoid spicy & acidic food,Eat smaller meals,Sit upright after eating,Follow prescribed medication
Diverticulitis,Eat low-fiber during flare-ups,Stay hydrated,Take antibiotics if prescribed,Avoid seeds/nuts if advised
Sprain or strain,Rest the area,Apply ice packs,Compression with bandage,Elevate the limb
Idiopathic painful menstruation,Use heat pads,Take antispasmodics/NSAIDs,Regular exercise,Avoid stress
Eustachian Tube Dysfunction (Ear Disorder),Avoid flying with a cold,Use decongestants,Perform Valsalva maneuver,Stay hydrated
Appendicitis,Avoid taking laxatives,Seek emergency care,Don’t eat or drink before surgery,Follow post-op instructions
Hyperemesis gravidarum,"Eat small, frequent meals",Stay hydrated,Avoid strong odors,Take prescribed anti-nausea meds
Urinary tract infection,Drink plenty of fluids,Urinate after sex,Wipe front to back,Complete antibiotic course
Peripheral nerve disorder,Avoid repetitive injury,Use ergonomic tools,Take B vitamins if deficient,Follow neurologist’s advice
Sebaceous cyst,Keep area clean,Avoid squeezing,Apply warm compress,Get it drained by a doctor if needed
Spontaneous abortion,Take emotional support,Rest adequately,Avoid strenuous activity,Follow up for check-up
Gallstone,Avoid high-fat foods,Maintain a healthy weight,Eat regular meals,Follow up for surgical evaluation if needed
Multiple sclerosis,Avoid overheating,Follow medication schedule,Stay physically active,Rest when needed
Angina,Avoid overexertion,Take nitroglycerin as prescribed,Manage stress,Avoid cold exposure
Skin pigmentation disorder,Use sunscreen daily,Avoid skin irritants,Follow dermatological treatments,Stay hydrated
Personality disorder,Follow psychotherapy plan,Avoid substance use,Build healthy relationships,Maintain regular routines
Strep throat,Complete full antibiotic course,Avoid sharing utensils,Get adequate rest,Drink warm fluids
Developmental disability,Follow individualized education plans,Encourage structured routine,Regular therapy,Provide positive reinforcement
Chronic back pain,Maintain proper posture,Regular stretching,Use ergonomic furniture,Avoid lifting heavy objects
Heart failure,Monitor fluid intake,Follow low-sodium diet,Take prescribed meds,Track weight daily
Conjunctivitis,Use prescribed eye drops,Avoid touching/rubbing eyes,Wash hands frequently,Don’t share towels
Herniated disk,Avoid lifting heavy items,Follow physical therapy,Use proper posture,Take prescribed meds
Diaper rash,Keep area dry,Change diapers frequently,Apply protective creams,Avoid scented products
Eczema,Moisturize regularly,Avoid irritants like soaps & wool,Use corticosteroid creams,Reduce stress
